Participant Name,Original Player Name,Rebuy Player Name
Example Entry 1,Sungjae Im,Tony Finau
Example Entry 2,Nicolai Højgaard,Aaron Rai
Example Entry 3,Brandt Snedeker,Alex Smalley
Example Entry 4,Austin Smotherman,David Ford
Example Entry 5,Justin Thomas,Nicolai Højgaard
Example Entry 6,Jacob Bridgeman,Ricky Castillo
Example Entry 7,Ben Griffin,Ricky Castillo
Example Entry 8,Doug Ghim,Xander Schauffele
Example Entry 9,Chandler Blanchet,Blades Brown
Example Entry 10,Sungjae Im,Corey Conners
